Read Details,Подробнее,module,Magento_AdminNotification
Mark as Read,Пометить как прочитанное,module,Magento_AdminNotification
Are you sure?,Вы уверены?,module,Magento_AdminNotification
Remove,Удалить,module,Magento_AdminNotification
Messages Inbox,Входящие сообщения,module,Magento_AdminNotification
You have %1 new system messages,У вас %1 новых системных сообщений,module,Magento_AdminNotification
You have %1 new system message,У вас %1 новое системное сообщение,module,Magento_AdminNotification
Incoming Message,Входящее сообщение,module,Magento_AdminNotification
close,закрыть,module,Magento_AdminNotification
Notifications,Уведомления,module,Magento_AdminNotification
The message has been marked as Read.,Сообщение помечено как прочитанное.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,Не удалось пометить уведомление как прочитанное из-за ошибки.,module,Magento_AdminNotification
Please select messages.,"Пожалуйста, выберите сообщения.",module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,%1 записей помечены как прочитанные.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,%1 записей удалено.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,Не удалось удалить сообщения из-за ошибки.,module,Magento_AdminNotification
The message has been removed.,Сообщение удалено.,module,Magento_AdminNotification
1 Hour,1 час,module,Magento_AdminNotification
2 Hours,2 часа,module,Magento_AdminNotification
6 Hours,6 часов,module,Magento_AdminNotification
12 Hours,12 часов,module,Magento_AdminNotification
24 Hours,24 часа,module,Magento_AdminNotification
critical,критично,module,Magento_AdminNotification
major,важно,module,Magento_AdminNotification
minor,обычно,module,Magento_AdminNotification
notice,уведом.,module,Magento_AdminNotification
Wrong message type,Неверный тип сообщения,module,Magento_AdminNotification
Wrong notification ID specified.,Указан неправильный ID уведомления.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","На рабочем сайте не рекомендуется использовать {{base_url}} в значениях параметров Базовый небезопасный URL / Базовый безопасный URL. Мы очень рекомендуем изменить это значение в <a href=""%1"">конфигурации</a> вашего Magento сайта.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Один или несколько типов кэша недействительны: %1. ,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите в <a href=""%1"">Управление кэшем</a> и обновите нужные типы кэша.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,Мы не смогли синхронизировать один или несколько медиа файлов. Подробности в лог файле.,module,Magento_AdminNotification
Synchronization of media storages has been completed.,Синхронизация медиа хранилищ завершена.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,"Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к конфиденциальным файлам. Пожалуйста, обратитесь к персоналу, ответственному за настройку вашего хостинга.",module,Magento_AdminNotification
System Messages:,Системные сообщения:,module,Magento_AdminNotification
Critical System Messages,Критичные системные сообщения,module,Magento_AdminNotification
Major System Messages,Важные системные сообщения,module,Magento_AdminNotification
System messages,Системные сообщения,module,Magento_AdminNotification
Close,Закрыть,module,Magento_AdminNotification
See All (,Просмотреть все (,module,Magento_AdminNotification
 unread), не прочитано),module,Magento_AdminNotification
Please correct the data sent.,Исправьте отправленные данные.,module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,Модель типа сущности '%1' не найдена,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Модель типа сущности должна быть экземпляром класса \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,"Нет типов товара, доступных для экспорта",module,Magento_AdvancedPricingImportExport
